Id,reference
0,31.097431
1,64.046466
2,22.247178
3,38.304670
4,54.451116
5,47.649202
6,46.839661
7,70.627799
8,61.224499
9,57.212111
10,37.953664
11,70.666620
12,80.864168
13,19.338278
14,68.911863
15,69.550868
16,47.017157
17,81.462374
18,54.881933
19,79.660876
20,47.807474
21,37.912361
22,24.324618
23,50.969903
24,15.679156
25,69.994392
26,51.416093
27,35.431159
28,16.244021
29,87.388847
30,60.781686
31,35.247952
32,74.594612
33,85.899798
34,55.446668
35,80.744675
36,35.639650
37,71.849325
38,9.304298
39,51.684834
40,38.493245
41,43.489744
42,42.960714
43,32.292175
44,33.789224
45,43.996402
46,29.183419
47,53.161713
48,40.852902
49,36.867393
50,48.012142
51,15.404015
52,53.519156
53,47.295646
54,71.131563
55,59.890204
56,45.524468
57,27.032159
58,71.798943
59,79.846817
60,42.950326
61,42.446630
62,40.349267
63,36.537246
64,39.210977
65,66.594413
66,21.826446
67,55.607290
68,35.298919
69,49.657808
70,58.294911
71,43.437250
72,58.247084
73,10.776010
74,35.133685
75,46.224278
76,48.434846
77,32.318847
78,42.339510
79,83.972950
80,63.505849
81,20.676415
82,47.504337
83,66.414639
84,77.039437
85,16.010881
86,35.980621
87,6.123649
88,36.518224
89,49.702982
90,55.067846
91,37.407764
92,31.322708
93,38.523303
94,61.879427
95,45.669267
96,22.532135
97,52.488645
98,41.593956
99,58.860970
100,39.901363
101,83.826773
102,22.163121
103,30.033405
104,19.944052
105,43.027656
106,79.198870
107,55.992755
108,84.382805
109,54.176957
110,29.642465
111,20.778724
112,54.762780
113,14.639008
114,40.229854
115,51.389144
116,51.143768
117,44.114137
118,73.928243
119,91.429129
120,40.655886
121,16.637631
122,44.926740
123,30.578957
124,24.875751
125,5.271845
126,57.086925
127,43.503650
128,24.201558
129,81.513109
130,-8.252221
131,36.589430
132,25.234298
133,55.031289
134,86.130661
135,36.917936
136,44.427080
137,20.745669
138,70.751990
139,46.500374
140,80.571057
141,5.890468
142,89.096647
143,56.887589
144,23.096982
145,37.505553
146,56.110282
147,83.317997
148,35.918455
149,34.350849
150,8.506293
151,68.040031
152,45.083321
153,37.927833
154,40.786767
155,34.797047
156,80.844655
157,27.586266
158,44.030753
159,82.387434
160,77.770324
161,83.061601
162,38.601308
163,25.222651
164,82.119499
165,44.418845
166,87.333625
167,52.069389
168,39.724462
169,44.332659
170,26.936833
171,11.816826
172,24.905354
173,20.858880
174,70.897659
175,37.984352
176,30.114095
177,41.240786
178,36.515871
179,78.245391
180,42.618590
181,48.732417
182,73.010162
183,75.019093
184,32.583480
185,28.170981
186,10.334298
187,17.260811
188,82.721172
189,48.945217
190,90.319592
191,82.207197
192,10.141557
193,30.420992
194,46.672614
195,46.464796
196,19.300977
197,73.220574
198,37.519746
199,16.147689
200,72.874613
201,91.999159
202,72.483599
203,66.220579
204,80.594476
205,58.443396
206,72.360909
207,61.918502
208,32.260930
209,43.208741
210,18.785915
211,15.080185
212,17.510314
213,72.266209
214,17.322123
215,40.574135
216,40.921690
217,83.199152
218,21.428401
219,35.406173
220,35.487294
221,68.535793
222,43.344267
223,49.154895
224,50.441594
225,66.914269
226,5.621123
227,50.688575
228,29.759103
229,49.538162
230,47.356530
231,42.087099
232,63.531663
233,73.773109
234,40.733871
235,54.627189
236,46.701559
237,53.938200
238,56.060573
239,44.686211
240,79.035291
241,4.598753
242,41.260489
243,38.263903
244,64.412877
245,41.979927
246,35.408102
247,37.953505
248,21.324313
249,90.972934
250,35.315109
251,61.035437
252,55.039875
253,36.705789
254,6.983958
255,22.316961
256,49.446140
257,38.863493
258,43.965156
259,9.828636
260,59.920313
261,32.685142
262,48.737470
263,41.521576
264,86.839243
265,75.776826
266,67.815511
267,41.159286
268,55.740994
269,83.638527
270,67.186752
271,54.177311
272,33.582748
273,37.514657
274,21.047858
275,36.615319
276,58.210157
277,68.074063
278,46.900204
279,39.804964
280,67.467487
281,28.026798
282,59.523448
283,16.747120
284,58.107667
285,32.259546
286,12.673581
287,54.285755
288,50.594077
289,66.184239
290,78.487576
291,26.491501
292,65.854745
293,39.287727
294,37.956294
295,73.251793
296,38.679536
297,22.354265
298,16.584192
299,50.294277
300,90.082449
301,90.681756
302,45.733548
303,9.571268
304,49.505077
305,50.246144
306,32.827455
307,42.125409
308,31.448861
309,70.689415
310,33.576256
311,39.231114
312,18.957688
313,77.092454
314,78.908735
315,45.980299
316,38.184631
317,36.755247
318,75.643937
319,7.048814
320,44.576425
321,41.066370
322,14.985338
323,38.667289
324,59.781112
325,51.725672
326,40.910561
327,54.012057
328,47.674435
329,45.912009
330,42.489628
331,69.926572
332,52.180530
333,42.339818
334,58.768976
335,55.421255
336,13.303892
337,72.797652
338,38.240704
339,28.104940
340,53.716773
341,38.977634
342,35.029784
343,52.492471
344,53.319108
345,8.787321
346,15.916208
347,9.718586
348,23.564817
349,37.399043
350,50.477473
351,27.101814
352,46.646854
353,62.163960
354,14.730712
355,55.679366
356,75.414272
357,36.607820
358,82.361603
359,28.837214
360,49.183877
361,3.896008
362,42.611010
363,76.428437
364,27.163644
365,48.436434
366,40.942268
367,56.149955
368,35.339405
369,75.610940
370,62.856730
371,36.739015
372,7.587112
373,24.755166
374,36.439837
375,8.558408
376,40.816380
377,37.119728
378,82.027001
379,41.669486
380,10.358530
381,10.154541
382,74.945803
